Nome;Time;Posicao;Overall;Jogos;Minutos;Gols;Assistencias;Finalizacoes;Chutes_Alvo;Cartoes_Amarelos;Cartoes_Vermelhos;Media_Gols;Media_Assists
Pape Matar Sarr;Tottenham Hotspur;Left Midfielder;80;38;3420;0;15;0;0;12;0;0.0;0.395
Christian Thers Nørgaard;Brentford;Central Midfielder;78;38;3420;0;14;0;0;6;1;0.0;0.368
Bruno Guimarães;Newcastle United;Central Midfielder;85;38;3420;0;13;0;0;4;1;0.0;0.342
Dejan Kulusevski;Tottenham Hotspur;Central Midfielder;84;38;3420;0;13;0;0;6;0;0.0;0.342
Carlos Noom Quomah Baleba;Brighton & Hove Albion;Right Midfielder;79;38;3420;0;12;0;0;6;0;0.0;0.316
Ryan Jiro Gravenberch;Liverpool;Right Midfielder;84;38;3420;0;12;0;0;5;0;0.0;0.316
Mats Wieffer;Brighton & Hove Albion;Right Midfielder;78;38;3420;0;11;0;0;10;0;0.0;0.289
Adam James Wharton;Crystal Palace;Right Midfielder;79;38;3420;0;11;0;0;2;0;0.0;0.289
Kevin De Bruyne;Manchester City;Central Midfielder;89;38;3420;0;11;0;0;5;1;0.0;0.289
Mateus Fernandes;Southampton;Right Midfielder;76;38;3420;0;11;0;0;8;0;0.0;0.289
André;Wolverhampton Wanderers;Left Midfielder;77;38;3420;0;11;0;0;11;0;0.0;0.289
Marcus Rashford;Aston Villa;Left Midfielder;80;38;3420;0;10;0;0;6;0;0.0;0.263
Luis Fernando Díaz Marulanda;Liverpool;Central Midfielder;85;38;3420;0;10;0;0;8;0;0.0;0.263
Albert Grønbæk Erlykke;Southampton;Central Midfielder;74;38;3420;0;10;0;0;10;0;0.0;0.263
João Gomes;Wolverhampton Wanderers;Left Midfielder;78;38;3420;0;9;0;0;2;1;0.0;0.237
John McGinn;Aston Villa;Left Midfielder;81;38;3420;0;8;0;0;7;0;0.0;0.211
Mikkel Krogh Damsgaard;Brentford;Central Midfielder;79;38;3420;0;8;0;0;5;0;0.0;0.211
Matthew Sean O'Riley;Brighton & Hove Albion;Right Midfielder;79;38;3420;0;8;0;0;7;1;0.0;0.211
Chukwunonso Tristan Madueke;Chelsea;Left Midfielder;79;38;3420;0;8;0;0;9;0;0.0;0.211
Cheick Oumar Doucouré;Crystal Palace;Central Midfielder;78;38;3420;0;8;0;0;2;0;0.0;0.211
Omari Elijah Giraud-Hutchinson;Ipswich Town;Central Midfielder;75;38;3420;0;8;0;0;8;0;0.0;0.211
Youri Tielemans;Aston Villa;Left Midfielder;83;38;3420;0;7;0;0;6;0;0.0;0.184
Moisés Isaac Caicedo Corozo;Chelsea;Central Midfielder;85;38;3420;0;7;0;0;5;0;0.0;0.184
Jadon Malik Sancho;Chelsea;Right Midfielder;81;38;3420;0;7;0;0;6;0;0.0;0.184
Dwight James Matthew McNeil;Everton;Central Midfielder;78;38;3420;0;7;0;0;5;0;0.0;0.184
Orel Johnson Mangala;Everton;Left Midfielder;77;38;3420;0;7;0;0;9;1;0.0;0.184
Idrissa Gana Gueye;Everton;Right Midfielder;77;38;3420;0;7;0;0;9;2;0.0;0.184
Emile Smith Rowe;Fulham FC;Left Midfielder;77;38;3420;0;7;0;0;6;0;0.0;0.184
Andreas Pereira;Fulham FC;Central Midfielder;77;38;3420;0;7;0;0;3;0;0.0;0.184
Joelinton;Newcastle United;Central Midfielder;82;38;3420;0;7;0;0;8;0;0.0;0.184
Tomáš Souček;West Ham United;Central Midfielder;79;38;3420;0;7;0;0;6;0;0.0;0.184
Matheus Cunha;Wolverhampton Wanderers;Left Midfielder;81;38;3420;0;7;0;0;4;0;0.0;0.184
Ryan Christie;AFC Bournemouth;Left Midfielder;78;38;3420;0;6;0;0;10;0;0.0;0.158
Donyell Malen;Aston Villa;Central Midfielder;80;38;3420;0;6;0;0;12;1;0.0;0.158
Enzo Jeremías Fernández;Chelsea;Right Midfielder;83;38;3420;0;6;0;0;10;0;0.0;0.158
Iliman Cheikh Baroy Ndiaye;Everton;Right Midfielder;79;38;3420;0;6;0;0;12;0;0.0;0.158
Sander Gard Bolin Berge;Fulham FC;Left Midfielder;79;38;3420;0;6;0;0;5;1;0.0;0.158
Onyinye Wilfred Ndidi;Leicester City;Left Midfielder;77;38;3420;0;6;0;0;6;0;0.0;0.158
Justin Dean Kluivert;AFC Bournemouth;Central Midfielder;79;38;3420;0;5;0;0;6;0;0.0;0.132
Lewis John Cook;AFC Bournemouth;Right Midfielder;79;38;3420;0;5;0;0;7;0;0.0;0.132
Tyler Shaan Adams;AFC Bournemouth;Central Midfielder;78;38;3420;0;5;0;0;8;1;0.0;0.132
Cole Jermaine Palmer;Chelsea;Central Midfielder;87;38;3420;0;5;0;0;8;0;0.0;0.132
Conor Mark Chaplin;Ipswich Town;Left Midfielder;75;38;3420;0;5;0;0;6;0;0.0;0.132
Bilal El Khannouss;Leicester City;Central Midfielder;76;38;3420;0;5;0;0;3;1;0.0;0.132
Harry Billy Winks;Leicester City;Right Midfielder;75;38;3420;0;5;0;0;8;0;0.0;0.132
Mohammed Kudus;West Ham United;Right Midfielder;80;38;3420;0;5;0;0;8;0;0.0;0.132
Morgan Elliot Rogers;Aston Villa;Left Midfielder;81;38;3420;0;4;0;0;2;0;0.0;0.105
Samuel Joseph Szmodics;Ipswich Town;Right Midfielder;76;38;3420;0;4;0;0;5;1;0.0;0.105
Jens-Lys Michel Cajuste;Ipswich Town;Left Midfielder;75;38;3420;0;4;0;0;4;0;0.0;0.105
İlkay Gündoğan;Manchester City;Central Midfielder;84;38;3420;0;4;0;0;11;1;0.0;0.105
Edson Omar Álvarez Velázquez;West Ham United;Central Midfielder;78;38;3420;0;4;0;0;5;0;0.0;0.105
Guido Rodríguez;West Ham United;Left Midfielder;78;38;3420;0;4;0;0;7;1;0.0;0.105
Issahaku Abdul Fatawu;Leicester City;Right Midfielder;76;38;3420;0;3;0;0;10;0;0.0;0.079
Facundo Valentín Buonanotte;Leicester City;Central Midfielder;75;38;3420;0;3;0;0;1;1;0.0;0.079
Bruno Fernandes;Manchester United;Central Midfielder;86;38;3420;0;3;14;8;5;0;0.0;0.079
Jarrod Bowen;West Ham United;Left Midfielder;82;38;3420;0;3;0;0;10;0;0.0;0.079
Ismaïla Sarr;Crystal Palace;Right Midfielder;77;38;3420;0;2;0;0;10;1;0.0;0.053
Alexander Chuka Iwobi;Fulham FC;Left Midfielder;80;38;3420;0;2;0;0;5;0;0.0;0.053
Saša Lukić;Fulham FC;Left Midfielder;78;38;3420;0;2;0;0;7;0;0.0;0.053
Stephy Alvaro Mavididi;Leicester City;Left Midfielder;76;38;3420;0;2;0;0;8;0;0.0;0.053
Nicolás Martín Domínguez;Nottingham Forest;Left Midfielder;78;38;3420;0;2;0;0;11;0;0.0;0.053
Lucas Paquetá;West Ham United;Central Midfielder;79;38;3420;0;2;0;0;7;0;0.0;0.053
Milos Kerkez;AFC Bournemouth;Centre-Back;81;38;3420;0;0;0;0;11;0;0.0;0.0
Antoine Serlom Semenyo;AFC Bournemouth;Central Midfielder;79;38;3420;0;0;0;0;8;1;0.0;0.0
Dean Donny Huijsen;AFC Bournemouth;Centre-Back;78;38;3420;0;0;0;0;6;0;0.0;0.0
Illia Zabarnyi;AFC Bournemouth;Left-Back;78;38;3420;0;0;0;0;6;0;0.0;0.0
Marcos Nicolás Senesi Barón;AFC Bournemouth;Left-Back;78;38;3420;0;0;0;0;7;0;0.0;0.0
Kepa;AFC Bournemouth;Goalkeeper;78;38;3420;0;0;0;0;8;0;0.0;0.0
William Alain André Gabriel Saliba;Arsenal;Left-Back;87;38;3420;0;0;0;0;7;1;0.0;0.0
Gabriel;Arsenal;Centre-Back;87;38;3420;0;0;0;0;5;0;0.0;0.0
David Raya;Arsenal;Goalkeeper;86;38;3420;0;0;0;0;8;0;0.0;0.0
Benjamin William White;Arsenal;Left-Back;84;38;3420;0;0;0;0;4;0;0.0;0.0
Mikel Merino;Arsenal;Defensive Midfielder;84;38;3420;0;0;0;0;6;0;0.0;0.0
Thomas Teye Partey;Arsenal;Defensive Midfielder;83;38;3420;0;0;0;0;6;1;0.0;0.0
Jurriën David Norman Timber;Arsenal;Centre-Back;82;38;3420;0;0;0;0;6;0;0.0;0.0
Damián Emiliano Martínez Romero;Aston Villa;Goalkeeper;86;38;3420;0;0;0;0;5;0;0.0;0.0
Boubacar Bernard Kamara;Aston Villa;Defensive Midfielder;83;38;3420;0;0;0;0;7;0;0.0;0.0
Ezri Konsa Ngoyo;Aston Villa;Centre-Back;82;38;3420;0;0;0;0;8;0;0.0;0.0
Pau Torres;Aston Villa;Centre-Back;81;38;3420;0;0;0;0;6;0;0.0;0.0
Leon Patrick Bailey Butler;Aston Villa;Defensive Midfielder;80;38;3420;0;0;0;0;5;1;0.0;0.0
Nathan Michael Collins;Brentford;Right-Back;78;38;3420;0;0;0;0;6;0;0.0;0.0
Mark Flekken;Brentford;Goalkeeper;78;38;3420;0;0;0;0;9;0;0.0;0.0
Sepp van den Berg;Brentford;Left-Back;77;38;3420;0;0;0;0;4;0;0.0;0.0
Ethan Rupert Pinnock;Brentford;Centre-Back;77;38;3420;0;0;0;0;7;0;0.0;0.0
Mathias Jensen;Brentford;Defensive Midfielder;77;38;3420;0;0;0;0;8;0;0.0;0.0
Kaoru Mitoma;Brighton & Hove Albion;Defensive Midfielder;82;38;3420;0;0;0;0;12;1;0.0;0.0
Ferdi Erenay Kadıoğlu;Brighton & Hove Albion;Left-Back;80;38;3420;0;0;0;0;4;0;0.0;0.0
Pervis Josué Estupiñán Tenorio;Brighton & Hove Albion;Left-Back;79;38;3420;0;0;0;0;4;0;0.0;0.0
Jan Paul van Hecke;Brighton & Hove Albion;Left-Back;78;38;3420;0;0;0;0;8;0;0.0;0.0
Bart Verbruggen;Brighton & Hove Albion;Goalkeeper;78;38;3420;0;0;0;0;8;0;0.0;0.0
Georginio Rutter;Brighton & Hove Albion;Defensive Midfielder;78;38;3420;0;0;0;0;6;0;0.0;0.0
Joël Ivo Veltman;Brighton & Hove Albion;Centre-Back;78;38;3420;0;0;0;0;8;1;0.0;0.0
Marc Cucurella;Chelsea;Right-Back;83;38;3420;0;0;0;0;7;1;0.0;0.0
Reece James;Chelsea;Left-Back;82;38;3420;0;0;0;0;5;0;0.0;0.0
Christopher Alan Nkunku;Chelsea;Defensive Midfielder;82;38;3420;0;0;0;0;3;1;0.0;0.0
Malo Gusto;Chelsea;Centre-Back;80;38;3420;0;0;0;0;9;0;0.0;0.0
Levi Lemar Samuel Colwill;Chelsea;Left-Back;79;38;3420;0;0;0;0;6;0;0.0;0.0
Addji Keaninkin Marc-Israel Guéhi;Crystal Palace;Right-Back;81;38;3420;0;0;0;0;5;1;0.0;0.0
Eberechi Oluchi Eze;Crystal Palace;Defensive Midfielder;81;38;3420;0;0;0;0;6;0;0.0;0.0
Daniel Muñoz Mejía;Crystal Palace;Centre-Back;80;38;3420;0;0;0;0;8;0;0.0;0.0
Dean Bradley Henderson;Crystal Palace;Goalkeeper;80;38;3420;0;0;0;0;10;0;0.0;0.0
Guy Maxence Lacroix;Crystal Palace;Right-Back;79;38;3420;0;0;0;0;3;0;0.0;0.0
Tyrick Kwon Mitchell;Crystal Palace;Left-Back;78;38;3420;0;0;0;0;9;0;0.0;0.0
Benjamin James Chilwell;Crystal Palace;Right-Back;78;38;3420;0;0;0;0;7;0;0.0;0.0
Jordan Lee Pickford;Everton;Goalkeeper;83;38;3420;0;0;0;0;7;0;0.0;0.0
James Alan Tarkowski;Everton;Centre-Back;80;38;3420;0;0;0;0;12;0;0.0;0.0
Jarrad Paul Branthwaite;Everton;Right-Back;79;38;3420;0;0;0;0;7;0;0.0;0.0
Vitalii Mykolenko;Everton;Left-Back;77;38;3420;0;0;0;0;8;0;0.0;0.0
Jake O'Brien;Everton;Right-Back;76;38;3420;0;0;0;0;7;0;0.0;0.0
Antonee Robinson;Fulham FC;Centre-Back;82;38;3420;0;0;0;0;9;0;0.0;0.0
Bernd Leno;Fulham FC;Goalkeeper;81;38;3420;0;0;0;0;5;1;0.0;0.0
Joachim Christian Andersen;Fulham FC;Left-Back;79;38;3420;0;0;0;0;9;0;0.0;0.0
Calvin Bassey Ughelumba;Fulham FC;Right-Back;78;38;3420;0;0;0;0;5;0;0.0;0.0
Kenny Joelle Tete;Fulham FC;Centre-Back;78;38;3420;0;0;0;0;9;0;0.0;0.0
Leif Davis;Ipswich Town;Left-Back;77;38;3420;0;0;0;0;8;0;0.0;0.0
Benjamin Matthew Godfrey;Ipswich Town;Right-Back;75;38;3420;0;0;0;0;7;0;0.0;0.0
Jacob John Greaves;Ipswich Town;Centre-Back;75;38;3420;0;0;0;0;7;0;0.0;0.0
Kalvin Mark Phillips;Ipswich Town;Defensive Midfielder;75;38;3420;0;0;0;0;7;0;0.0;0.0
Dara Joseph O'Shea;Ipswich Town;Right-Back;75;38;3420;0;0;0;0;4;0;0.0;0.0
Jaden Philogene-Bidace;Ipswich Town;Defensive Midfielder;75;38;3420;0;0;0;0;4;1;0.0;0.0
Mads Hermansen;Leicester City;Goalkeeper;77;38;3420;0;0;0;0;4;0;0.0;0.0
Ricardo Pereira;Leicester City;Right-Back;75;38;3420;0;0;0;0;5;0;0.0;0.0
Victor Bernth Kristiansen;Leicester City;Centre-Back;75;38;3420;0;0;0;0;8;0;0.0;0.0
Boubakary Soumaré;Leicester City;Defensive Midfielder;75;38;3420;0;0;0;0;6;0;0.0;0.0
Mohamed Salah Hamed Ghaly;Liverpool;Defensive Midfielder;91;38;3420;0;0;0;0;8;1;0.0;0.0
Virgil van Dijk;Liverpool;Left-Back;90;38;3420;0;0;0;0;8;0;0.0;0.0
Alisson;Liverpool;Goalkeeper;89;38;3420;0;0;0;0;10;1;0.0;0.0
Alexis Mac Allister;Liverpool;Defensive Midfielder;86;38;3420;0;0;0;0;8;1;0.0;0.0
Trent John Alexander-Arnold;Liverpool;Centre-Back;86;38;3420;0;0;0;0;6;0;0.0;0.0
Ibrahima Konaté;Liverpool;Left-Back;85;38;3420;0;0;0;0;8;1;0.0;0.0
Cody Mathès Gakpo;Liverpool;Defensive Midfielder;84;38;3420;0;0;0;0;5;0;0.0;0.0
Rúben Dias;Manchester City;Right-Back;86;38;3420;0;0;0;0;9;0;0.0;0.0
Ederson;Manchester City;Goalkeeper;86;38;3420;0;0;0;0;2;0;0.0;0.0
Bernardo Silva;Manchester City;Defensive Midfielder;85;38;3420;0;0;0;0;8;1;0.0;0.0
Joško Gvardiol;Manchester City;Right-Back;84;38;3420;0;0;0;0;4;0;0.0;0.0
Manuel Obafemi Akanji;Manchester City;Left-Back;83;38;3420;0;0;0;0;8;1;0.0;0.0
Sven Adriaan Botman;Newcastle United;Left-Back;82;38;3420;0;0;0;0;8;0;0.0;0.0
Fabian Lukas Schär;Newcastle United;Right-Back;82;38;3420;0;0;0;0;10;0;0.0;0.0
Nicholas David Pope;Newcastle United;Goalkeeper;82;38;3420;0;0;0;0;7;0;0.0;0.0
Kieran John Trippier;Newcastle United;Left-Back;81;38;3420;0;0;0;0;10;0;0.0;0.0
Lewis Kieran Hall;Newcastle United;Right-Back;79;38;3420;0;0;0;0;10;0;0.0;0.0
Murillo;Nottingham Forest;Centre-Back;81;38;3420;0;0;0;0;3;1;0.0;0.0
Nikola Milenković;Nottingham Forest;Right-Back;81;38;3420;0;0;0;0;7;0;0.0;0.0
Morgan Anthony Gibbs-White;Nottingham Forest;Defensive Midfielder;81;38;3420;0;0;0;0;9;0;0.0;0.0
Matz Willy Els Sels;Nottingham Forest;Goalkeeper;81;38;3420;0;0;0;0;8;0;0.0;0.0
Temitayo Olufisayo Olaoluwa Aina;Nottingham Forest;Centre-Back;80;38;3420;0;0;0;0;5;0;0.0;0.0
Neco Shay Williams;Nottingham Forest;Right-Back;78;38;3420;0;0;0;0;10;0;0.0;0.0
Callum James Hudson-Odoi;Nottingham Forest;Defensive Midfielder;78;38;3420;0;0;0;0;8;0;0.0;0.0
Aaron Christopher Ramsdale;Southampton;Goalkeeper;78;38;3420;0;0;0;0;3;0;0.0;0.0
Kyle Leonardus Walker-Peters;Southampton;Centre-Back;75;38;3420;0;0;0;0;6;0;0.0;0.0
Yukinari Sugawara;Southampton;Left-Back;75;38;3420;0;0;0;0;5;1;0.0;0.0
Taylor Jay Harwood-Bellis;Southampton;Right-Back;74;38;3420;0;0;0;0;12;0;0.0;0.0
Ryan Phelim Manning;Southampton;Centre-Back;74;38;3420;0;0;0;0;11;0;0.0;0.0
Flynn Downes;Southampton;Defensive Midfielder;74;38;3420;0;0;0;0;3;0;0.0;0.0
Welington;Southampton;Right-Back;73;38;3420;0;0;0;0;3;0;0.0;0.0
Lesley Chimuanya Ugochukwu;Southampton;Defensive Midfielder;73;38;3420;0;0;0;0;5;0;0.0;0.0
James Daniel Maddison;Tottenham Hotspur;Defensive Midfielder;84;38;3420;0;0;0;0;11;1;0.0;0.0
Micky van de Ven;Tottenham Hotspur;Right-Back;83;38;3420;0;0;0;0;10;1;0.0;0.0
Guglielmo Vicario;Tottenham Hotspur;Goalkeeper;83;38;3420;0;0;0;0;3;0;0.0;0.0
Cristian Gabriel Romero;Tottenham Hotspur;Centre-Back;83;38;3420;0;0;0;0;3;1;0.0;0.0
Pedro Porro;Tottenham Hotspur;Left-Back;82;38;3420;0;0;0;0;9;0;0.0;0.0
Iyenoma Destiny Udogie;Tottenham Hotspur;Centre-Back;81;38;3420;0;0;0;0;8;1;0.0;0.0
Rodrigo Bentancur Colmán;Tottenham Hotspur;Defensive Midfielder;81;38;3420;0;0;0;0;5;0;0.0;0.0
Kevin Danso;Tottenham Hotspur;Right-Back;80;38;3420;0;0;0;0;10;0;0.0;0.0
Aaron Wan-Bissaka;West Ham United;Centre-Back;80;38;3420;0;0;0;0;2;0;0.0;0.0
Jean-Clair Dimitri Roger Todibo;West Ham United;Right-Back;79;38;3420;0;0;0;0;8;1;0.0;0.0
Emerson;West Ham United;Left-Back;78;38;3420;0;0;0;0;6;0;0.0;0.0
James Michael Edward Ward-Prowse;West Ham United;Defensive Midfielder;78;38;3420;0;0;0;0;11;0;0.0;0.0
Rayan Aït Nouri;Wolverhampton Wanderers;Left-Back;79;38;3420;0;0;0;0;8;0;0.0;0.0
Emmanuel Elysee Djedje Agbadou Badobre;Wolverhampton Wanderers;Left-Back;77;38;3420;0;0;0;0;8;1;0.0;0.0
Nélson Semedo;Wolverhampton Wanderers;Centre-Back;77;38;3420;0;0;0;0;8;0;0.0;0.0
José Sá;Wolverhampton Wanderers;Goalkeeper;77;38;3420;0;0;0;0;12;0;0.0;0.0
Santiago Ignacio Bueno Sciutto;Wolverhampton Wanderers;Centre-Back;76;38;3420;0;0;0;0;3;0;0.0;0.0
Marshall Nyasha Munetsi;Wolverhampton Wanderers;Defensive Midfielder;76;38;3420;0;0;0;0;9;1;0.0;0.0
